condition,score,treatment
Control,48.464718269314396,DrugA
Control,53.068589075099084,DrugA
Control,48.64342301130137,DrugA
Control,48.109589466012885,DrugA
Control,44.4198908580634,DrugA
Control,48.720188315472775,DrugA
Control,56.671504285917926,DrugA
Control,52.54488010475562,DrugA
Control,56.221274473338,DrugA
Control,51.49341636599055,DrugA
Control,52.36861780768255,DrugA
Control,51.111959962570396,DrugA
Control,45.00362484812834,DrugB
Control,60.13150581258842,DrugB
Control,58.038309075368325,DrugB
Control,57.992908228971665,DrugB
Control,44.85181268890946,DrugB
Control,44.536671296346384,DrugB
Control,49.66230793115842,DrugB
Control,52.190864345600595,DrugB
Control,56.83267595099464,DrugB
Control,54.724529616924485,DrugB
Control,58.12584939052541,DrugB
Control,51.14659150075304,DrugB
Low,66.85221889526528,DrugA
Low,67.36492686115525,DrugA
Low,61.033175914807146,DrugA
Low,75.30518190400245,DrugA
Low,68.33965613520473,DrugA
Low,72.18203142787405,DrugA
Low,61.27800251310294,DrugA
Low,60.56290462265136,DrugA
Low,62.93571992502099,DrugA
Low,64.36147201076874,DrugA
Low,68.79247247019289,DrugA
Low,66.49056352141815,DrugA
Low,67.315870628607,DrugB
Low,64.25852611802577,DrugB
Low,66.87645813960077,DrugB
Low,77.32552788939942,DrugB
Low,65.152321430153,DrugB
Low,71.46855248389645,DrugB
Low,72.55911384804499,DrugB
Low,61.06154119083331,DrugB
Low,70.29084614683578,DrugB
Low,77.83746159884242,DrugB
Low,57.91381705173842,DrugB
Low,68.07043689360597,DrugB
High,79.3631649882459,DrugA
High,75.09643818537792,DrugA
High,82.98434006719552,DrugA
High,79.62632063040226,DrugA
High,71.21206005707566,DrugA
High,84.96707527094789,DrugA
High,84.01601413892601,DrugA
High,85.67505075444448,DrugA
High,88.64358447915562,DrugA
High,82.17346202209005,DrugA
High,80.7156449021007,DrugA
High,72.2049914916125,DrugA
High,88.69265927628985,DrugB
High,81.32944648233772,DrugB
High,82.28378860228698,DrugB
High,77.41127335419206,DrugB
High,79.19431403673497,DrugB
High,81.81327344430478,DrugB
High,92.73302525845592,DrugB
High,72.80924771530795,DrugB
High,76.2537666785268,DrugB
High,86.43610657824702,DrugB
High,93.66009852493897,DrugB
High,88.47098170224889,DrugB
